portfolio,n,alpha,alpha_t,beta_mkt,beta_mkt_t,beta_smb,beta_smb_t,beta_hml,beta_hml_t,r2
BIG HiBM,1187,-0.0015899826233177845,-1.5439080457179077,1.1757748662498109,33.631070676748465,-0.1428663233639251,-2.0921038840359065,0.9962257207655918,17.612440781063302,0.8354707748604753
BIG LoBM,1187,0.0010184318697814229,2.939125630330278,1.0312474012907469,111.43489127513325,-0.1504065605346197,-6.241645576889264,-0.2692146279238483,-16.353285837717355,0.9560155750638256
ME1 BM2,1187,-0.003863618171944292,-3.698153835539818,1.0715694913773266,38.10368349856529,1.5277190364983462,9.767416528170136,0.20771880347599742,3.2030067158721423,0.823580704846319
ME1 BM3,1187,-0.0011482621200891528,-1.686164731372311,1.0493798675511692,28.240314114147633,1.2372114632648799,24.97015667264791,0.49333204489924093,12.64577530425725,0.8891451406886797
ME1 BM4,1187,0.0007373666528525644,1.3740423079453408,0.9439287192628115,48.86686820465731,1.2317729474620631,13.124118929961984,0.5743839646526849,16.555899248147444,0.929892949465832
ME2 BM1,1187,-0.0021934566022146396,-3.4212284551757284,1.085963627862603,48.225956783036146,1.1518258849088179,18.080746264818487,-0.2293701913606724,-7.064540034530975,0.9099672137238607
ME2 BM2,1187,0.00021408443315696794,0.40689419308235414,1.0225405343700602,67.46385690475816,1.0052278816504885,17.171188271910225,0.11840715901189862,3.2346940986620387,0.9344278748392987
ME2 BM3,1187,0.00023182313467628337,0.459972874337964,0.9898753762998364,45.21897004463969,0.8315960314089318,12.25086042759644,0.3434151335698216,7.993627830310351,0.934340759334475
ME2 BM4,1187,0.0003094771364854453,0.7353077730477338,0.9683174493157007,58.258090439421096,0.8279051307777482,13.992329383552379,0.5849258655477408,15.829060269001486,0.9523984407661777
ME2 BM5,1187,0.000272289279860719,0.5794274083880644,1.0656608163587367,57.62383097074673,0.9261191883457456,18.94118260696461,0.883967174302006,22.494575352732486,0.9523579102279478
ME3 BM1,1187,-0.001107731354129617,-2.2015785823168863,1.1242007467228154,61.42262684761562,0.8102681138391455,20.742800259067998,-0.2180214193319838,-5.492040122743681,0.9271514728814937
ME3 BM2,1187,0.00084137402684569,1.7581310876261274,1.017088975725731,66.46706394142227,0.5609456920211872,19.682332260695674,0.04770375246226105,1.5062074336436837,0.9294986356751633
ME3 BM3,1187,0.0004944672210251741,0.9874045284246705,0.9853973217741195,42.36592955230478,0.45057237714976495,9.834596628251854,0.3227629306499167,8.626445974383788,0.9268924579266519
ME3 BM4,1187,0.0002932523537845778,0.6256349235401419,0.993606737803666,55.097639809212104,0.47801606213148967,9.807466323628502,0.5632388876626259,13.216985147233466,0.9346736477539456
ME3 BM5,1187,-0.0006023076418530242,-1.0131063590598453,1.1127828024283333,57.11866452206154,0.5889775517020148,8.96813190124416,0.8639523811464115,17.511004343828578,0.9236993975639213
ME4 BM1,1187,0.00041711698110499237,0.8673769286843953,1.0732805229789006,81.97399521113503,0.3393537926966133,8.701783778273297,-0.3293117268389282,-13.004630705769781,0.9297315418953227
ME4 BM2,1187,-0.00010543553043919269,-0.20084145097126968,1.0289118523895147,48.75291528518775,0.24116849541554897,6.011892350164013,0.10584501334584225,3.1637041857772012,0.9230050408414513
ME4 BM3,1187,-9.420413993749979e-05,-0.17073101967613066,1.0100618716581202,64.50727891940014,0.2072011080127728,4.628176578015965,0.34811097553124726,9.334553510470322,0.9154422100249817
ME4 BM4,1187,0.00019421775283500435,0.3598025389148983,1.034495080373123,44.557583867683434,0.21397993173777266,6.607765673018742,0.5669617841924137,11.706159829408254,0.9149799974992899
ME4 BM5,1187,-0.0017186278367869034,-2.358344323331771,1.1848187020704979,53.09336397358681,0.3201344089372492,7.861319159901326,0.9472958532281307,21.87635741016363,0.9103290019737195
ME5 BM2,1187,-0.0001012637390928167,-0.2438040302413864,0.9772344064799591,70.7217930319977,-0.18934069491418584,-8.665897968871256,0.02613277416353174,1.1338443418281487,0.9280570761112874
ME5 BM3,1187,-0.0002758868408115041,-0.489996438360647,0.9606663967662752,49.9598539078565,-0.2319856756470938,-8.88776875199805,0.331116731233701,10.99267046320177,0.9047761152608984
ME5 BM4,1187,-0.002430517684655378,-4.1871668075098,1.0307882539941151,45.774054351819814,-0.1791215122388513,-5.8998995874878615,0.6560565727940201,19.06050515428801,0.9232109556073572
SMALL HiBM,1187,0.0013645599364813517,2.3983878019990885,0.9797283905250057,47.41285061608803,1.2884201037548217,19.99052137548652,0.8885200733077295,17.392643977899223,0.9290795654702906
SMALL LoBM,1187,-0.006831760731606963,-4.762064083546478,1.2661904644016149,13.79539044604512,1.476771744557208,8.801203163387493,0.3537284264415902,1.5441836198863372,0.6637941943583593
